                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.59654,                 1.2114,                0.57627,                      1,              0.0009802
                      1,                0.40531,                 1.7732,                0.57627,                      1,              0.0009604
                      2,                0.30252,                 1.4989,                0.64407,                      1,              0.0009406
                      3,                0.27376,                 0.4123,                0.89831,                      1,              0.0009208
                      4,                0.24409,                0.58299,                0.77966,                      1,               0.000901
                      5,                 0.2192,                 0.4648,                0.83051,                      1,              0.0008812
                      6,                0.21079,                 0.3541,                 0.9322,                      1,              0.0008614
                      7,                0.21565,                0.35559,                0.89831,                      1,              0.0008416
                      8,                0.21001,                0.29381,                0.94915,                      1,              0.0008218
                      9,                0.20687,                0.27457,                0.94915,                      1,               0.000802
                     10,                0.20431,                0.28269,                 0.9661,                      1,              0.0007822
                     11,                 0.2028,                0.27024,                0.94915,                      1,              0.0007624
                     12,                0.20376,                0.27138,                0.94915,                      1,              0.0007426
                     13,                0.20036,                0.27353,                0.94915,                      1,              0.0007228
                     14,                0.20091,                0.27289,                0.94915,                      1,               0.000703
                     15,                0.20198,                0.27598,                0.94915,                      1,              0.0006832
                     16,                0.20145,                 0.2825,                0.94915,                      1,              0.0006634
                     17,                0.20198,                0.27796,                0.94915,                      1,              0.0006436
                     18,                0.20081,                 0.2824,                0.94915,                      1,              0.0006238
                     19,                0.20344,                0.28908,                0.94915,                      1,               0.000604
                     20,                0.20117,                 0.2885,                0.94915,                      1,              0.0005842
                     21,                 0.2041,                0.29932,                 0.9322,                      1,              0.0005644
                     22,                0.20234,                0.29541,                 0.9322,                      1,              0.0005446
                     23,                0.20054,                0.29028,                0.94915,                      1,              0.0005248
                     24,                 0.2004,                 0.2947,                 0.9322,                      1,               0.000505
                     25,                0.20002,                0.29292,                 0.9322,                      1,              0.0004852
                     26,                0.19985,                0.28957,                0.94915,                      1,              0.0004654
                     27,                0.20129,                0.29199,                 0.9322,                      1,              0.0004456
                     28,                 0.1999,                0.29414,                 0.9322,                      1,              0.0004258
                     29,                0.20159,                0.29215,                 0.9322,                      1,               0.000406
                     30,                0.20024,                0.29205,                 0.9322,                      1,              0.0003862
                     31,                0.20115,                  0.294,                 0.9322,                      1,              0.0003664
                     32,                 0.2005,                 0.2929,                 0.9322,                      1,              0.0003466
                     33,                0.20138,                0.29569,                 0.9322,                      1,              0.0003268
                     34,                0.20148,                0.29007,                 0.9322,                      1,               0.000307
                     35,                0.20014,                 0.2889,                 0.9322,                      1,              0.0002872
                     36,                0.19965,                0.29019,                 0.9322,                      1,              0.0002674
                     37,                0.19976,                0.29014,                 0.9322,                      1,              0.0002476
                     38,                0.19942,                0.29024,                 0.9322,                      1,              0.0002278
                     39,                0.20071,                0.29048,                 0.9322,                      1,               0.000208
                     40,                0.19945,                0.29197,                 0.9322,                      1,              0.0001882
                     41,                0.20135,                0.28979,                 0.9322,                      1,              0.0001684
                     42,                0.19957,                0.29111,                 0.9322,                      1,              0.0001486
                     43,                0.19988,                0.29089,                 0.9322,                      1,              0.0001288
                     44,                0.19942,                0.28953,                 0.9322,                      1,               0.000109
                     45,                0.19958,                0.28952,                 0.9322,                      1,               8.92e-05
                     46,                0.19912,                0.28917,                 0.9322,                      1,               6.94e-05
                     47,                0.19935,                0.28924,                 0.9322,                      1,               4.96e-05
                     48,                0.19887,                0.28997,                 0.9322,                      1,               2.98e-05
                     49,                0.19919,                0.28972,                 0.9322,                      1,                  1e-05
