                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.78537,                0.69209,                0.52542,                      1,              0.0009868
                      1,                0.52613,                0.70838,                0.52542,                      1,              0.0009736
                      2,                0.51326,                0.75918,                0.52542,                      1,              0.0009604
                      3,                0.44798,                0.86083,                0.52542,                      1,              0.0009472
                      4,                0.38708,                0.87691,                0.52542,                      1,               0.000934
                      5,                0.32861,                 1.0768,                0.52542,                      1,              0.0009208
                      6,                0.27184,                0.99753,                0.52542,                      1,              0.0009076
                      7,                0.24895,                 1.1787,                0.52542,                      1,              0.0008944
                      8,                0.23454,                 1.2874,                0.52542,                      1,              0.0008812
                      9,                0.22328,                 1.2363,                0.52542,                      1,               0.000868
                     10,                 0.2329,                 1.3092,                0.52542,                      1,              0.0008548
                     11,                0.22316,                 1.3283,                0.52542,                      1,              0.0008416
                     12,                0.22781,                0.94339,                0.52542,                      1,              0.0008284
                     13,                  0.223,                 1.3981,                0.52542,                      1,              0.0008152
                     14,                0.21714,                 1.2369,                0.52542,                      1,               0.000802
                     15,                0.21406,                 1.0007,                0.57627,                      1,              0.0007888
                     16,                0.21337,                0.81439,                0.61017,                      1,              0.0007756
                     17,                0.21287,                 0.7005,                0.76271,                      1,              0.0007624
                     18,                 0.2048,                0.64644,                0.74576,                      1,              0.0007492
                     19,                0.20841,                0.48405,                0.84746,                      1,               0.000736
                     20,                0.20238,                0.39305,                0.89831,                      1,              0.0007228
                     21,                0.20942,                0.41614,                0.83051,                      1,              0.0007096
                     22,                0.20452,                0.41068,                0.84746,                      1,              0.0006964
                     23,                0.20586,                0.36405,                 0.9322,                      1,              0.0006832
                     24,                0.20026,                0.36505,                 0.9322,                      1,                0.00067
                     25,                 0.1996,                0.35348,                 0.9322,                      1,              0.0006568
                     26,                0.20216,                0.33686,                 0.9322,                      1,              0.0006436
                     27,                0.20451,                0.33509,                 0.9322,                      1,              0.0006304
                     28,                0.20234,                0.33921,                 0.9322,                      1,              0.0006172
                     29,                0.20701,                0.35297,                 0.9322,                      1,               0.000604
                     30,                0.20266,                0.39219,                 0.9322,                      1,              0.0005908
                     31,                0.20419,                0.36982,                 0.9322,                      1,              0.0005776
                     32,                0.20628,                 0.3838,                0.89831,                      1,              0.0005644
                     33,                0.21505,                0.40379,                0.88136,                      1,              0.0005512
                     34,                0.20583,                0.41324,                0.88136,                      1,               0.000538
                     35,                0.20818,                0.39745,                0.91525,                      1,              0.0005248
                     36,                0.20389,                0.45594,                0.88136,                      1,              0.0005116
                     37,                0.20476,                0.36699,                0.89831,                      1,              0.0004984
                     38,                0.20101,                0.32676,                 0.9322,                      1,              0.0004852
                     39,                0.20482,                0.31844,                 0.9322,                      1,               0.000472
                     40,                0.20101,                0.31708,                 0.9322,                      1,              0.0004588
                     41,                0.21099,                0.30621,                 0.9322,                      1,              0.0004456
                     42,                0.20703,                0.31671,                0.94915,                      1,              0.0004324
                     43,                 0.2059,                0.33407,                0.91525,                      1,              0.0004192
                     44,                0.21721,                0.33476,                0.91525,                      1,               0.000406
                     45,                0.20675,                0.37897,                0.89831,                      1,              0.0003928
                     46,                0.20454,                0.35287,                 0.9322,                      1,              0.0003796
                     47,                0.20333,                 0.3582,                0.91525,                      1,              0.0003664
                     48,                0.20045,                0.38542,                0.89831,                      1,              0.0003532
                     49,                0.20167,                0.33135,                0.91525,                      1,                0.00034
                     50,                0.19992,                 0.3131,                 0.9322,                      1,              0.0003268
                     51,                0.20036,                0.31022,                 0.9322,                      1,              0.0003136
                     52,                0.20052,                0.30227,                 0.9322,                      1,              0.0003004
                     53,                0.20059,                0.30218,                 0.9322,                      1,              0.0002872
                     54,                0.20034,                0.29949,                 0.9322,                      1,               0.000274
                     55,                0.20017,                0.29611,                 0.9322,                      1,              0.0002608
                     56,                0.19944,                0.29556,                0.94915,                      1,              0.0002476
                     57,                0.20231,                0.29708,                0.94915,                      1,              0.0002344
                     58,                0.20204,                0.29935,                0.94915,                      1,              0.0002212
                     59,                0.20047,                0.29856,                0.94915,                      1,               0.000208
                     60,                0.19986,                0.30078,                0.94915,                      1,              0.0001948
                     61,                0.20272,                0.30315,                0.94915,                      1,              0.0001816
                     62,                0.20148,                 0.3004,                0.94915,                      1,              0.0001684
                     63,                0.20251,                0.30154,                0.94915,                      1,              0.0001552
                     64,                0.20083,                0.30153,                 0.9322,                      1,               0.000142
                     65,                0.20017,                0.30105,                 0.9322,                      1,              0.0001288
                     66,                0.19999,                0.30277,                 0.9322,                      1,              0.0001156
                     67,                0.19913,                0.30229,                 0.9322,                      1,              0.0001024
                     68,                0.20154,                0.30166,                 0.9322,                      1,               8.92e-05
                     69,                0.20104,                0.30201,                 0.9322,                      1,                7.6e-05
                     70,                0.20043,                0.30063,                 0.9322,                      1,               6.28e-05
                     71,                0.20138,                0.30214,                 0.9322,                      1,               4.96e-05
                     72,                0.19984,                0.30155,                 0.9322,                      1,               3.64e-05
                     73,                0.19951,                0.30114,                 0.9322,                      1,               2.32e-05
                     74,                0.20065,                0.30066,                 0.9322,                      1,                  1e-05
